fpr,tpr
0.000000000000000000e+00,1.229016786570743397e-01
0.000000000000000000e+00,1.241007194244604372e-01
0.000000000000000000e+00,1.247002398081534791e-01
0.000000000000000000e+00,1.264988009592326046e-01
0.000000000000000000e+00,1.288968824940047997e-01
0.000000000000000000e+00,1.300959232613908834e-01
0.000000000000000000e+00,1.312949640287769670e-01
0.000000000000000000e+00,1.336930455635491621e-01
0.000000000000000000e+00,1.378896882494004827e-01
0.000000000000000000e+00,1.390887290167865664e-01
0.000000000000000000e+00,1.402877697841726501e-01
0.000000000000000000e+00,1.420863309352518034e-01
0.000000000000000000e+00,1.444844124700239707e-01
0.000000000000000000e+00,1.462829736211031240e-01
0.000000000000000000e+00,1.468824940047961658e-01
0.000000000000000000e+00,1.492805755395683331e-01
0.000000000000000000e+00,1.504796163069544446e-01
0.000000000000000000e+00,1.522781774580335701e-01
0.000000000000000000e+00,1.582733812949640162e-01
0.000000000000000000e+00,1.600719424460431695e-01
0.000000000000000000e+00,1.624700239808153368e-01
0.000000000000000000e+00,1.636690647482014482e-01
0.000000000000000000e+00,1.648681055155875319e-01
0.000000000000000000e+00,1.684652278177458107e-01
0.000000000000000000e+00,1.732613908872901731e-01
0.000000000000000000e+00,1.744604316546762568e-01
0.000000000000000000e+00,1.756594724220623405e-01
0.000000000000000000e+00,1.768585131894484519e-01
0.000000000000000000e+00,1.792565947242206192e-01
0.000000000000000000e+00,1.816546762589928143e-01
0.000000000000000000e+00,1.840527577937649817e-01
0.000000000000000000e+00,1.858513189448441350e-01
0.000000000000000000e+00,1.870503597122302186e-01
0.000000000000000000e+00,1.888489208633093441e-01
0.000000000000000000e+00,1.936450839328537066e-01
0.000000000000000000e+00,1.954436450839328598e-01
0.000000000000000000e+00,1.966426858513189435e-01
0.000000000000000000e+00,1.984412470023980690e-01
0.000000000000000000e+00,1.990407673860911386e-01
0.000000000000000000e+00,2.002398081534772223e-01
0.000000000000000000e+00,2.008393285371702641e-01
0.000000000000000000e+00,2.038369304556355011e-01
0.000000000000000000e+00,2.056354916067146266e-01
0.000000000000000000e+00,2.062350119904076684e-01
0.000000000000000000e+00,2.080335731414868217e-01
0.000000000000000000e+00,2.092326139088729053e-01
0.000000000000000000e+00,2.098321342925659472e-01
0.000000000000000000e+00,2.110311750599520308e-01
0.000000000000000000e+00,2.116306954436450727e-01
0.000000000000000000e+00,2.128297362110311841e-01
